01 02 03 04 05
01 02 03 05 11
01 02 06 07 11
01 02 06 11 12
01 02 07 10 13
01 02 08 09 12
01 03 04 07 09
01 03 05 07 09
01 03 05 07 12
01 03 06 08 10
01 03 06 08 13
01 03 07 10 12
01 03 09 11 13
01 04 05 06 08
01 04 06 12 13
01 04 07 09 11
01 04 07 09 13
01 04 08 10 11
01 05 06 09 10
01 05 07 08 09
01 05 11 12 13
01 06 07 10 11
01 07 08 10 12
02 03 04 06 09
02 03 04 07 08
02 03 05 06 08
02 03 07 12 13
02 03 09 10 11
02 04 05 08 13
02 04 06 07 10
02 04 06 08 13
02 04 06 10 12
02 04 07 11 12
02 04 08 11 13
02 04 09 10 12
02 05 06 09 13
02 05 07 09 11
02 05 07 10 11
02 05 08 10 12
03 04 05 09 12
03 04 05 10 13
03 04 06 07 11
03 04 08 11 12
03 05 06 10 11
03 05 07 08 11
03 06 07 09 12
03 06 10 11 13
03 08 09 10 13
04 05 06 09 11
04 05 07 10 13
04 05 09 10 12
04 06 07 08 12
04 06 08 09 13
05 06 07 12 13
05 06 08 10 11
05 08 10 12 13
06 07 08 09 10
06 08 09 11 12
07 08 09 11 13
09 10 11 12 13
