01 02 03 04
01 02 08 12
01 03 04 07
01 03 05 07
01 03 07 12
01 04 10 11
01 05 08 14
01 05 09 13
01 05 11 12
01 06 08 09
01 06 08 12
01 06 10 14
01 06 13 15
01 07 08 10
01 07 11 15
01 07 14 15
01 09 13 14
01 09 14 15
02 03 05 12
02 03 08 15
02 03 09 11
02 03 10 12
02 04 05 08
02 04 06 07
02 04 12 15
02 05 06 09
02 05 07 13
02 05 10 15
02 06 07 12
02 06 11 13
02 07 09 14
02 08 11 14
02 09 10 13
03 04 05 15
03 05 10 15
03 05 11 14
03 06 09 15
03 06 11 12
03 06 13 14
03 07 10 13
03 08 09 10
03 08 11 13
04 05 06 12
04 05 09 13
04 05 09 15
04 06 08 10
04 07 09 11
04 07 13 14
04 08 12 13
04 08 14 15
04 09 12 14
04 10 13 14
05 06 07 08
05 06 09 10
05 07 10 11
05 08 09 15
05 10 12 13
06 11 14 15
07 08 12 14
07 09 12 13
07 10 12 15
08 11 13 15
09 10 11 12
12 13 14 15
