01 02 03
01 02 15
01 02 18
01 02 24
01 02 27
01 04 07
01 05 09
01 06 08
01 10 19
01 11 21
01 12 20
01 13 25
01 16 22
02 04 09
02 05 08
02 06 07
02 10 21
02 11 20
02 12 19
02 14 26
02 17 23
03 04 08
03 04 17
03 04 26
03 05 07
03 05 16
03 05 25
03 06 09
03 10 20
03 11 19
03 12 21
03 15 27
03 18 24
04 05 06
04 05 18
04 05 27
04 10 25
04 13 22
04 14 24
04 15 23
04 16 19
05 11 26
05 13 24
05 14 23
05 15 22
05 17 20
06 07 11
06 07 20
06 08 10
06 08 19
06 12 27
06 13 23
06 14 22
06 15 24
06 18 21
07 08 09
07 08 12
07 08 21
07 10 22
07 13 19
07 16 25
07 17 27
07 18 26
08 11 23
08 14 20
08 16 27
08 17 26
08 18 25
09 10 11
09 12 24
09 13 14
09 15 21
09 16 26
09 17 25
09 18 27
10 11 12
10 13 16
10 14 18
10 15 17
11 13 18
11 14 17
11 15 16
12 13 17
12 14 16
12 15 18
13 14 15
16 17 18
19 20 21
19 22 25
19 23 27
19 24 26
20 22 27
20 23 26
20 24 25
21 22 26
21 23 25
21 24 27
22 23 24
25 26 27
