01 02 03 04 05
05 06 07 08 09
01 02 03 04 06
01 02 03 05 06
01 02 07 08 09
01 03 07 08 09
02 03 07 08 09
04 05 06 07 08
04 05 06 07 09
04 05 06 08 09
01 02 03 04 10
06 07 08 09 10
01 02 03 05 10
01 02 03 06 10
01 07 08 09 10
02 07 08 09 10
03 07 08 09 10
04 05 06 07 10
04 05 06 08 10
04 05 06 09 10
01 02 03 04 11
06 07 08 09 11
01 02 03 05 11
01 02 03 06 11
01 07 08 09 11
02 07 08 09 11
03 07 08 09 11
04 05 06 07 11
04 05 06 08 11
04 05 06 09 11
01 02 03 10 11
01 02 04 10 11
01 02 05 10 11
01 06 07 10 11
03 04 05 10 11
06 08 09 10 11
07 08 09 10 11
01 02 03 04 12
06 07 08 09 12
01 02 03 05 12
01 02 03 06 12
01 07 08 09 12
02 07 08 09 12
03 07 08 09 12
04 05 06 07 12
04 05 06 08 12
04 05 06 09 12
01 02 03 10 12
01 02 04 10 12
01 02 05 10 12
01 06 07 10 12
03 04 05 10 12
06 08 09 10 12
07 08 09 10 12
01 02 03 11 12
08 09 10 11 12
01 02 04 11 12
01 02 05 11 12
03 04 05 11 12
06 07 08 11 12
06 07 09 11 12
06 07 10 11 12
01 02 03 04 13
06 07 08 09 13
01 02 03 05 13
01 02 03 06 13
01 07 08 09 13
02 07 08 09 13
03 07 08 09 13
04 05 06 07 13
04 05 06 08 13
04 05 06 09 13
01 02 03 10 13
01 02 04 10 13
01 02 05 10 13
01 06 07 10 13
03 04 05 10 13
06 08 09 10 13
07 08 09 10 13
01 02 03 11 13
08 09 10 11 13
01 02 04 11 13
01 02 05 11 13
03 04 05 11 13
06 07 08 11 13
06 07 09 11 13
06 07 10 11 13
01 02 03 12 13
08 09 10 12 13
01 02 04 12 13
01 02 05 12 13
03 04 05 12 13
06 07 08 12 13
06 07 09 12 13
06 07 10 12 13
01 02 11 12 13
03 04 11 12 13
05 06 11 12 13
07 08 11 12 13
09 10 11 12 13
01 02 03 04 14
06 07 08 09 14
01 02 03 05 14
01 02 03 06 14
01 07 08 09 14
02 07 08 09 14
03 07 08 09 14
04 05 06 07 14
04 05 06 08 14
04 05 06 09 14
01 02 03 10 14
01 02 04 10 14
01 02 05 10 14
01 06 07 10 14
03 04 05 10 14
06 08 09 10 14
07 08 09 10 14
01 02 03 11 14
08 09 10 11 14
01 02 04 11 14
01 02 05 11 14
03 04 05 11 14
06 07 08 11 14
06 07 09 11 14
06 07 10 11 14
01 02 03 12 14
08 09 10 12 14
01 02 04 12 14
01 02 05 12 14
03 04 05 12 14
06 07 08 12 14
06 07 09 12 14
06 07 10 12 14
01 02 11 12 14
03 04 11 12 14
05 06 11 12 14
07 08 11 12 14
09 10 11 12 14
01 02 03 13 14
08 09 10 13 14
01 02 04 13 14
01 02 05 13 14
03 04 05 13 14
06 07 08 13 14
