01 02 03
08 09 10
01 02 04
01 02 05
03 04 05
06 07 08
06 07 09
06 07 10
01 02 11
03 04 11
05 06 11
07 08 11
09 10 11
01 02 12
03 04 12
05 06 12
07 08 12
09 10 12
01 11 12
01 02 13
03 04 13
05 06 13
07 08 13
09 10 13
11 12 13
01 02 14
03 04 14
05 06 14
07 08 14
09 10 14
11 12 14
01 13 14
01 02 15
03 04 15
05 06 15
07 08 15
09 10 15
11 12 15
13 14 15
01 02 16
03 04 16
05 06 16
07 08 16
09 10 16
11 12 16
13 14 16
01 15 16
01 02 17
03 04 17
05 06 17
07 08 17
09 10 17
11 12 17
13 14 17
15 16 17
01 02 18
03 04 18
05 06 18
07 08 18
09 10 18
11 12 18
13 14 18
15 16 18
01 17 18
01 02 19
03 04 19
05 06 19
07 08 19
09 10 19
11 12 19
13 14 19
15 16 19
17 18 19
01 02 20
03 04 20
05 06 20
07 08 20
09 10 20
11 12 20
13 14 20
15 16 20
17 18 20
01 19 20
01 02 21
03 04 21
05 06 21
07 08 21
09 10 21
11 12 21
13 14 21
15 16 21
17 18 21
19 20 21
01 02 22
03 04 22
05 06 22
07 08 22
09 10 22
11 12 22
13 14 22
15 16 22
17 18 22
19 20 22
01 21 22
01 02 23
03 04 23
05 06 23
07 08 23
09 10 23
11 12 23
13 14 23
15 16 23
17 18 23
19 20 23
21 22 23
01 02 24
03 04 24
05 06 24
07 08 24
09 10 24
11 12 24
13 14 24
15 16 24
17 18 24
19 20 24
21 22 24
01 23 24
