01 02 03
01 03 07
01 03 08
02 07 08
04 05 06
04 09 10
04 11 12
05 09 11
05 10 12
06 09 12
06 10 11
01 02 13
03 04 13
05 06 13
07 08 13
09 10 13
11 12 13
01 02 14
03 04 14
05 06 14
07 08 14
09 10 14
11 12 14
01 13 14
01 02 15
03 04 15
05 06 15
07 08 15
09 10 15
11 12 15
13 14 15
01 02 16
03 04 16
05 06 16
07 08 16
09 10 16
11 12 16
13 14 16
01 15 16
01 02 17
03 04 17
05 06 17
07 08 17
09 10 17
11 12 17
13 14 17
15 16 17
01 02 18
03 04 18
05 06 18
07 08 18
09 10 18
11 12 18
13 14 18
15 16 18
01 17 18
01 02 19
03 04 19
05 06 19
07 08 19
09 10 19
11 12 19
13 14 19
15 16 19
17 18 19
01 02 20
03 04 20
05 06 20
07 08 20
09 10 20
11 12 20
13 14 20
15 16 20
17 18 20
01 19 20
01 02 21
03 04 21
05 06 21
07 08 21
09 10 21
11 12 21
13 14 21
15 16 21
17 18 21
19 20 21
01 02 22
03 04 22
05 06 22
07 08 22
09 10 22
11 12 22
13 14 22
15 16 22
17 18 22
19 20 22
01 21 22
01 02 23
03 04 23
05 06 23
07 08 23
09 10 23
11 12 23
13 14 23
15 16 23
17 18 23
19 20 23
21 22 23
01 02 24
03 04 24
05 06 24
07 08 24
09 10 24
11 12 24
13 14 24
15 16 24
17 18 24
19 20 24
21 22 24
01 23 24
01 02 25
03 04 25
05 06 25
07 08 25
09 10 25
11 12 25
13 14 25
15 16 25
17 18 25
19 20 25
21 22 25
23 24 25
01 02 26
03 04 26
05 06 26
07 08 26
09 10 26
11 12 26
13 14 26
15 16 26
17 18 26
19 20 26
21 22 26
23 24 26
01 25 26
01 02 27
03 04 27
05 06 27
07 08 27
09 10 27
11 12 27
13 14 27
15 16 27
17 18 27
19 20 27
21 22 27
23 24 27
25 26 27
01 02 28
03 04 28
05 06 28
07 08 28
09 10 28
11 12 28
13 14 28
15 16 28
17 18 28
19 20 28
21 22 28
23 24 28
25 26 28
01 27 28
01 02 29
03 04 29
05 06 29
07 08 29
09 10 29
11 12 29
13 14 29
15 16 29
17 18 29
19 20 29
21 22 29
23 24 29
25 26 29
27 28 29
01 02 30
03 04 30
05 06 30
07 08 30
09 10 30
11 12 30
13 14 30
15 16 30
17 18 30
19 20 30
21 22 30
23 24 30
25 26 30
27 28 30
01 29 30
